ETF代码,ETF名称,完整代码,基金规模
512160,MSCI中国A股ETF,,
159536,中证2000指数ETF,,
159336,央企红利50ETF,,
159731,石化ETF,,
513990,港股通ETF,,
513380,恒生科技ETF龙头,,
159976,湾创ETF,,
512380,MSCI中国ETF,,
159238,300ETF增强,,
560000,智慧电车ETF,,
159891,医疗ETF基金,,
159792,港股通互联网ETF,,
510380,国寿300ETF,,
159533,中证2000ETF基金,,
516380,智能电动车ETF,,
159639,碳中和ETF南方,,
516220,化工龙头ETF,,
516460,现金流ETF800,,
513750,港股通非银ETF,,
159591,中证A50ETF,,
563780,现金流全指ETF,,
159556,中证2000ETF增强,,
510190,上证50ETF指数基金,,
516890,新材料ETF指数基金,,
515360,方正沪深300ETF,,
516360,新材料ETF,,
516610,医疗服务ETF,,
513330,恒生互联网ETF,,
563330,A股ETF,,
159393,沪深300指数ETF,,
513770,港股互联网ETF,,
513070,港股消费ETF易方达,,
512130,现金流ETF中证全指,,
517000,沪港深500ETF,,
159568,港股互联网ETF,,
561780,1000增强ETF,,
159280,港股通互联网ETF汇添富,,
563390,现金流ETF全指,,
512180,MSCIA股ETF基金,,
159528,国企改革ETF,,
513260,恒生科技ETF基金,,
159202,恒生互联网科技ETF,,
516710,新材料50ETF,,
562890,A50ETF嘉实,,
159877,医疗ETF南方,,
562600,医疗器械ETF,,
159291,创业板综增强ETF招商,,
159740,恒生科技ETF,,
513130,恒生科技ETF,,
159985,豆粕ETF,,
159399,现金流ETF,,
515210,钢铁ETF,,
159763,新材料ETF基金,,
561230,中证A50ETF基金,,
159741,恒生科技ETF嘉实,,
517330,长江保护ETF,,
561370,2000ETF,,
159233,自由现金流ETF基金,,
561750,中证A50ETF博时,,
563350,中证A50ETF,,
159578,深证主板50ETF南方,,
159232,现金流ETF南方,,
563080,中证A50ETF易方达,,
513890,恒生科技HKETF,,
517300,沪港深300ETF,,
159883,医疗器械ETF,,
513010,恒生科技ETF易方达,,
561080,全指现金流ETF华安,,
159221,现金流ETF嘉实,,
563770,全指现金流ETF,,
512030,中证A50增强ETF易方达,,
516570,化工行业ETF,,
530080,上证180ETF天弘,,
159747,香港科技ETF,,
159101,港股通科技ETF基金,,
159707,地产ETF,,
159222,自由现金流ETF易方达,,
530280,上证180ETF指数基金,,
517170,沪港深ETF,,
561090,中证A500增强ETF,,
516390,新能源汽车ETF,,
561900,沪深300ESGETF,,
517030,沪港深300ETF易方达,,
510050,上证50ETF,,
510100,上证50ETF易方达,,
159703,新材料ETF,,
159235,中证现金流ETF,,
560100,中证500增强ETF,,
517080,沪港深500ETF基金,,
561870,自由现金流ETF全指,,
159750,港股科技50ETF,,
530180,上证180ETF易方达,,
562580,可选消费ETF,,
159328,家电ETF易方达,,
159563,创业板综ETF华夏,,
516190,文娱传媒ETF,,
159728,在线消费ETF,,
159330,沪深300ETF基金,,
510350,沪深300ETF工银,,
159201,自由现金流ETF,,
159225,现金流ETF基金,,
159925,沪深300ETF南方,,
159793,线上消费ETF基金,,
512260,中证500低波动ETF,,
159380,A500ETF东财,,
159276,现金流ETF汇添富,,
563000,中国A50ETF,,
159791,300ESGETF,,
159800,中证800ETF,,
510150,消费ETF,,
530680,上证180指数ETF基金,,
563880,中证A500指数ETF,,
159223,现金流ETF永赢,,
515660,沪深300ETF国联安,,
510040,上证180ETF指数,,
517200,互联网ETF,,
159725,线上消费ETF,,
159679,中证1000增强ETF,,
512910,中证A100ETF,,
530800,上证180ETF基金,,
563620,自由现金流全指ETF,,
159542,工程机械ETF,,
530300,上证180ETF华泰柏瑞,,
159898,医疗器械指数ETF,,
515390,沪深300ETF指数基金,,
159729,互联网ETF,,
516830,300ESGETF,,
159768,房地产ETF,,
159873,医疗设备ETF,,
510770,G60创新ETF,,
159631,中证A100ETF,,
561770,中证A100指数ETF,,
159706,深证100ETF华安,,
510850,上证50ETF工银,,
510360,沪深300ETF基金,,
159335,央企科创ETF,,
159628,国证2000ETF,,
563990,800现金流ETF,,
512090,MSCIA股ETF易方达,,
159661,A100ETF嘉实,,
515380,沪深300ETF泰康,,
510320,沪深300ETF中金,,
159680,1000ETF增强,,
159360,中证A500ETF天弘,,
561930,沪深300ETF招商,,
159300,300ETF,,
561350,国泰中证500ETF,,
159888,智能车ETF,,
517160,长江保护主题ETF,,
510710,上证50ETF博时,,
159636,港股通科技30ETF,,
513180,恒生科技指数ETF,,
513320,恒生新经济ETF,,
159851,金融科技ETF,,
515810,中证800ETF,,
563500,中证A500ETF华宝,,
159856,互联网龙头ETF,,
517050,互联网ETF华泰柏瑞,,
560280,工程机械ETF,,
515350,民生加银300ETF,,
159786,VRETF,,
159761,新材料50ETF,,
560750,A500ETF申万菱信,,
510310,沪深300ETF易方达,,
159966,创业板价值ETF,,
517360,沪港深科技ETF,,
159500,500ETF,,
563520,沪深300ETF永赢,,
159797,医疗器械ETF基金,,
510370,300指数ETF,,
510570,兴业中证500ETF,,
510390,沪深300ETF平安,,
563860,A500ETF海富通,,
510300,沪深300ETF,,
159339,A500ETF,,
159215,中证A500ETF指数基金,,
159633,中证1000ETF易方达,,
561200,中证A100ETF工银,,
560950,500ETF增强,,
159359,中证A500ETF华安,,
516100,金融科技ETF华夏,,
515330,沪深300ETF天弘,,
515310,沪深300指数ETF,,
159804,创中盘88ETF,,
510810,上海国企ETF,,
563650,中证A500龙头ETF,,
563760,全指自由现金流ETF,,
159203,大盘成长ETF,,
563660,A500ETF银河,,
159239,港股通汽车ETF富国,,
159237,港股汽车ETF基金,,
159572,创业板200ETF易方达,,
159226,中证A500增强ETF,,
159855,影视ETF,,
563090,上证50增强ETF易方达,,
512990,MSCIA股ETF,,
512080,A500ETF中金,,
515530,中证500ETF泰康,,
159996,家电ETF,,
563360,A500ETF华泰柏瑞,,
159919,沪深300ETF,,
159923,中证A100ETF基金,,
560180,沪深300ESGETF南方,,
512020,A500ETF指数,,
159362,A500ETF工银,,
560050,MSCI中国A50ETF,,
159627,A100ETF,,
510330,沪深300ETF华夏,,
159210,港股汽车ETF,,
560500,500质量成长ETF,,
159338,中证A500ETF,,
159550,互联网ETF沪港深,,
588910,科创价值ETF,,
517770,游戏传媒ETF,,
510290,上证380ETF,,
512520,MSCIETF,,
516600,消费服务ETF,,
510180,上证180ETF,,
159262,港股通科技ETF,,
159751,港股科技ETF,,
561120,家电ETF,,
560530,中证A500ETF摩根,,
159523,沪深300成长ETF,,
516770,游戏ETF华泰柏瑞,,
159386,A500ETF永赢,,
159376,A500ETF指数基金,,
561300,300增强ETF,,
159601,A50ETF,,
159935,中证500ETF景顺,,
510020,超大盘ETF,,
159352,A500ETF南方,,
159356,A500ETF基金,,
159606,中证500成长ETF,,
520860,港股通科技ETF富国,,
520600,港股汽车ETF,,
560010,中证1000ETF指数,,
512060,中证A100ETF天弘,,
159629,1000ETF,,
159575,创业板200ETF银华,,
159565,汽车零部件ETF,,
563800,A500ETF龙头,,
159918,中创400ETF,,
159602,中国A50ETF,,
561180,A100ETF,,
510550,方正中证500ETF,,
512050,A500ETF基金,,
563630,A500增强ETF,,
159255,通用航空ETF易方达,,
560610,A500指数ETF,,
530580,上证180ETF南方,,
159961,深100ETF方正富邦,,
512510,中证500ETF华泰柏瑞,,
159968,中证500ETF博时,,
515590,500等权ETF,,
515190,中银证券500ETF,,
159240,中证A500增强ETF天弘,,
510580,中证500ETF易方达,,
510500,中证500ETF,,
563220,中证A500ETF富国,,
562520,中证1000成长ETF,,
512500,中证500ETF华夏,,
159845,中证1000ETF,,
512100,中证1000ETF,,
560510,中证A500ETF,,
159358,中证A500ETF基金,,
159869,游戏ETF,,
561880,A100ETF基金,,
159377,创业板医药ETF国泰,,
159337,中证500ETF基金,,
561130,国货ETF,,
159351,A500ETF嘉实,,
563680,800自由现金流ETF,,
563580,自由现金流ETF800,,
159912,深300ETF,,
159357,中证A500指数ETF,,
510510,中证500ETF基金,,
560880,家电ETF龙头,,
159270,创业板200ETF南方,,
159353,中证A500ETF景顺,,
159256,创业板软件ETF华夏,,
159251,港股科技ETF基金,,
513560,香港科技ETF,,
513150,港股通科技ETF华泰柏瑞,,
516620,影视ETF,,
513020,港股科技ETF,,
516010,游戏ETF,,
510560,国寿500ETF,,
159323,港股通汽车ETF,,
159889,智能汽车ETF,,
159902,中小100ETF,,
510530,中证500ETF工银,,
563280,A50增强ETF,,
159505,国证2000指数ETF,,
515160,MSCI中国ETF招商,,
515960,医药ETF嘉实,,
159872,智能网联汽车ETF,,
159975,深100ETF招商,,
159379,A500ETF融通,,
520840,港股通恒生科技ETF,,
159820,中证500ETF天弘,,
159269,港股通科技ETF南方,,
513860,港股通科技ETF,,
159610,500ETF增强,,
159686,A100ETF易方达,,
560380,A100ETF南方,,
515250,智能汽车ETF,,
510590,中证500ETF平安,,
159721,深证100ETF永赢,,
159212,深100ETF南方,,
562000,中证A100ETF基金,,
512870,杭州湾区ETF,,
159392,航空ETF,,
159571,创业板200ETF富国,,
159901,深证100ETF,,
512650,长三角ETF,,
561990,沪深300增强ETF,,
520670,港股通科技ETF嘉实,,
159760,医疗健康ETF泰康,,
159216,深证100ETF大成,,
159795,智能汽车ETF基金,,
159982,中证500ETF鹏华,,
516520,智能驾驶ETF,,
159922,中证500ETF,,
515800,800ETF,,
516300,中证1000ETF华泰柏瑞,,
159211,深证100ETF富国,,
159361,A500ETF易方达,,
159306,汽车零件ETF,,
513350,标普油气ETF,,
530530,上证580ETF华夏,,
159576,深证100ETF广发,,
159590,软件50ETF,,
159943,深证成指ETF,,
516860,金融科技ETF,,
516720,ESGETF,,
520980,港股通科技ETF汇添富,,
159969,深100ETF银华,,
159630,A100ETF基金,,
159903,深成ETF,,
562050,药ETF,,
159230,通用航空ETF基金,,
159620,500成长ETF,,
513980,港股科技50ETF,,
159541,创业板综ETF万家,,
159678,中证500增强ETF,,
513160,港股科技30ETF,,
159518,标普油气ETF,,
561950,500指数增强ETF,,
159292,创业板综增强ETF华宝,,
520510,港股通医疗ETF,,
159944,材料ETF,,
159838,医药50ETF,,
159573,创业板200ETF华夏,,
159287,创业板综ETF博时,,
159217,港股通创新药ETF工银,,
159219,深证100ETF融通,,
560650,核心50ETF,,
159257,航空ETF基金,,
159938,医药卫生ETF,,
159586,计算机ETF南方,,
510170,大宗商品ETF,,
562860,生物疫苗ETF,,
159743,湖北ETF,,
159758,红利质量ETF,,
159970,深100ETF工银,,
515230,软件ETF,,
588130,科创医药ETF基金,,
563030,中证500增强ETF易方达,,
159303,恒生医疗ETF基金,,
159656,300成长ETF,,
159808,创100ETF融通,,
512660,军工ETF,,
560360,软件指数ETF,,
515550,国联中证500ETF,,
513200,港股通医药ETF,,
512980,传媒ETF,,
562920,信息安全ETF,,
517400,黄金股票ETF,,
561590,中证1000增强ETF,,
561550,500增强ETF,,
517660,物联网ETF沪港深,,
159562,黄金股ETF,,
159366,港股医疗ETF,,
159643,疫苗ETF,,
159847,医疗ETF易方达,,
512170,医疗ETF,,
159645,疫苗ETF富国,,
159283,通用航空ETF南方,,
563320,通用航空ETF,,
561010,软件ETF基金,,
159718,港股医药ETF,,
562700,汽车零部件ETF,,
159929,医药ETF,,
159899,软件龙头ETF,,
513700,香港医药ETF,,
159350,深证50ETF富国,,
561920,疫苗龙头ETF,,
159378,通用航空ETF,,
159557,恒生医疗ETF嘉实,,
159231,通用航空ETF华宝,,
515920,智能消费ETF,,
561500,漂亮50ETF,,
159638,高端装备ETF,,
562930,软件ETF易方达,,
159623,成渝经济圈ETF,,
159657,疫苗ETF鹏华,,
159615,恒生生物科技ETF,,
510410,资源ETF,,
589180,科创新材料ETF汇添富,,
159852,软件ETF,,
560260,医疗ETF龙头,,
517520,黄金股ETF,,
588160,科创材料ETF,,
159316,恒生创新药ETF,,
520880,港股通创新药ETF,,
512680,军工ETF龙头,,
159321,黄金股票ETF,,
159828,医疗ETF,,
516820,医疗创新ETF,,
159967,创业板成长ETF,,
513280,恒生生物科技ETF,,
513060,恒生医疗ETF,,
512710,军工龙头ETF,,
517990,医药ETF沪港深,,
512670,国防ETF,,
159567,港股创新药ETF,,
515750,科技50ETF,,
512560,军工ETF易方达,,
159150,深证50ETF易方达,,
159286,港股创新药ETF鹏华,,
159776,港股通医药ETF,,
159218,卫星产业ETF,,
560770,机器人指数ETF,,
159836,创业板300ETF天弘,,
159723,科技龙头ETF,,
516500,生物科技ETF,,
562310,沪深300成长ETF,,
159652,有色50ETF,,
159805,传媒ETF,,
159570,港股通创新药ETF,,
159613,信息安全ETF,,
515950,医药龙头ETF,,
159881,有色60ETF,,
159770,机器人ETF,,
159213,机器人ETF基金,,
159258,机器人ETF南方,,
512010,医药ETF,,
512120,医药50ETF,,
159716,深创100ETF,,
517350,沪港深科技ETF广发,,
512810,国防军工ETF,,
588010,科创新材料ETF,,
159778,工业互联ETF,,
159506,港股通医疗ETF富国,,
588850,科创机械ETF,,
159551,机器人产业ETF,,
520690,港股创新药精选ETF,,
159849,生物科技指数ETF,,
588250,科创生物医药ETF,,
560630,机器人产业ETF,,
159671,稀有金属ETF基金,,
562030,信创ETF基金,,
159322,黄金股票ETF基金,,
520970,港股通创新药ETF嘉实,,
510660,医药卫生ETF,,
588860,科创医药ETF,,
520700,港股创新药ETF基金,,
159871,有色金属ETF,,
159526,机器人ETF嘉实,,
516000,数据ETF,,
159958,创业板ETF工银,,
562360,机器人ETF基金,,
159810,创业板ETF浦银,,
159876,有色龙头ETF,,
159892,恒生医药ETF,,
562500,机器人ETF,,
159508,生物医药ETF基金,,
159777,创科技ETF,,
515910,质量ETF,,
588700,科创医药ETF嘉实,,
520500,恒生创新药ETF,,
159208,航天航空ETF,,
513120,港股创新药ETF,,
159622,创新药ETF沪港深,,
516930,生物科技ETF基金,,
159315,黄金股ETF基金,,
159732,消费电子ETF,,
159835,创新药50ETF,,
159608,稀有金属ETF,,
561600,消费电子ETF,,
560990,中金科技先锋ETF,,
513780,港股创新药50ETF,,
159858,创新药ETF南方,,
589550,科创价值ETF华夏,,
159998,计算机ETF,,
159676,创业板增强ETF富国,,
159837,生物科技ETF,,
512720,计算机ETF,,
159964,创业板ETF平安,,
159859,生物医药ETF,,
589200,科创200ETF工银,,
515400,大数据ETF,,
159913,深价值ETF,,
562800,稀有金属ETF,,
159956,创业板ETF建信,,
560850,信创50ETF,,
516060,创新药产业ETF,,
159267,航天ETF,,
159206,卫星ETF,,
512290,生物医药ETF,,
159278,机器人ETF鹏华,,
516700,大数据产业ETF,,
588680,科创100ETF增强指数基金,,
159952,创业板ETF广发,,
512400,有色金属ETF,,
562570,信创ETF,,
159973,民企ETF,,
159915,创业板ETF,,
159748,创新药ETF富国,,
159908,创业板ETF博时,,
159880,有色ETF基金,,
159227,航空航天ETF,,
517120,创新药ETF华泰柏瑞,,
513310,中韩半导体ETF,,
515200,创新100ETF,,
516080,创新药ETF易方达,,
