日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-25,920943,16.8,17.03,17.25,16.35,25890,43839244.34,5.17,-2.13,-0.37,6.28
2024-11-26,920943,16.86,16.08,17.48,16.0,21970,37490402.67,8.69,-5.58,-0.95,5.33
2024-11-27,920943,16.08,16.64,16.83,14.64,29127,46321025.79,13.62,3.48,0.56,7.07
2024-11-28,920943,17.08,16.53,17.32,16.43,22396,38569247.99,5.35,-0.66,-0.11,5.44
2024-11-29,920943,16.34,17.51,17.58,16.34,33503,58167619.64,7.5,5.93,0.98,8.13
2024-12-02,920943,17.7,18.11,18.53,17.53,40200,73129237.03,5.71,3.43,0.6,9.76
2024-12-03,920943,18.95,23.61,23.61,18.26,145721,323915419.11,29.54,30.37,5.5,35.37
2024-12-04,920943,22.35,20.38,22.75,19.93,119505,254082663.66,11.94,-13.68,-3.23,29.0
2024-12-05,920943,19.76,20.21,21.74,19.23,78604,160816863.13,12.32,-0.83,-0.17,19.08
2024-12-06,920943,19.73,18.77,20.21,18.77,49919,97707564.4,7.13,-7.13,-1.44,12.12
2024-12-09,920943,18.91,17.92,18.92,17.65,34097,62492658.29,6.77,-4.53,-0.85,8.28
2024-12-10,920943,18.75,18.31,19.13,18.17,38629,73110159.29,5.36,2.18,0.39,9.38
2024-12-11,920943,18.25,19.93,20.5,18.1,77178,153455478.33,13.11,8.85,1.62,18.73
2024-12-12,920943,19.05,18.65,19.7,18.18,48417,92438746.04,7.63,-6.42,-1.28,11.75
2024-12-13,920943,18.65,17.75,18.92,17.7,39690,73012727.63,6.54,-4.83,-0.9,9.63
2024-12-16,920943,17.75,16.63,17.83,16.4,33618,57830404.0,8.06,-6.31,-1.12,8.16
2024-12-17,920943,16.74,15.81,16.74,15.63,18365,29958074.56,6.67,-4.93,-0.82,4.46
2024-12-18,920943,15.8,15.56,16.32,15.4,17937,29006377.99,5.82,-1.58,-0.25,4.35
2024-12-19,920943,15.74,16.23,16.33,14.64,34805,55045337.81,10.86,4.31,0.67,8.45
2024-12-20,920943,16.11,15.98,16.52,15.91,21357,35135819.85,3.76,-1.54,-0.25,5.18
2024-12-23,920943,15.99,15.26,16.25,15.23,17310,27653349.48,6.38,-4.51,-0.72,4.2
2024-12-24,920943,15.31,15.32,15.69,15.05,12523,19571165.87,4.19,0.39,0.06,3.04
2024-12-25,920943,15.32,14.42,15.35,14.37,19064,28425906.42,6.4,-5.87,-0.9,4.63
2024-12-26,920943,14.35,14.87,14.9,14.35,14300,21377225.94,3.81,3.12,0.45,3.47
2024-12-27,920943,14.73,15.82,16.06,14.73,25183,40032274.93,8.94,6.39,0.95,6.11
2024-12-30,920943,15.7,16.28,17.2,15.2,30506,50214504.27,12.64,2.91,0.46,7.4
2024-12-31,920943,16.02,16.15,17.03,15.76,20291,33633022.94,7.8,-0.8,-0.13,4.92
2025-01-02,920943,16.32,15.77,16.32,15.45,15425,24934889.54,5.39,-2.35,-0.38,3.74
2025-01-03,920943,15.53,15.35,15.86,14.87,13145,20523876.67,6.28,-2.66,-0.42,3.19
2025-01-06,920943,15.35,14.69,15.35,14.55,7603,11478783.12,5.21,-4.3,-0.66,1.85
2025-01-07,920943,14.75,15.05,15.05,14.14,9139,13582102.18,6.19,2.45,0.36,2.22
2025-01-08,920943,15.2,15.01,15.2,14.35,8741,13148032.03,5.65,-0.27,-0.04,2.12
2025-01-09,920943,15.01,15.25,15.55,14.81,14717,22854456.91,4.93,1.6,0.24,3.57
2025-01-10,920943,15.33,14.65,15.42,14.45,9755,14798168.57,6.36,-3.93,-0.6,2.37
2025-01-13,920943,14.45,14.54,14.85,14.0,8150,11935749.75,5.8,-0.75,-0.11,1.98
2025-01-14,920943,14.45,15.7,15.7,14.45,19687,30564063.68,8.6,7.98,1.16,4.78
2025-01-15,920943,15.75,15.73,16.11,15.36,17261,27707178.05,4.78,0.19,0.03,4.19
2025-01-16,920943,15.73,15.9,16.14,15.66,14461,23368847.91,3.05,1.08,0.17,3.51
2025-01-17,920943,15.7,15.68,15.9,15.47,8493,13517542.54,2.7,-1.38,-0.22,2.06
2025-01-20,920943,15.81,15.63,16.06,15.38,7395,11748219.28,4.34,-0.32,-0.05,1.79
2025-01-21,920943,15.82,15.35,15.82,15.25,6540,10219697.92,3.65,-1.79,-0.28,1.59
2025-01-22,920943,15.39,14.8,15.39,14.55,8333,12583366.02,5.47,-3.58,-0.55,2.02
2025-01-23,920943,14.93,14.95,15.36,14.7,9959,15243429.6,4.46,1.01,0.15,2.42
2025-01-24,920943,14.95,14.85,15.2,14.73,6662,10067933.71,3.14,-0.67,-0.1,1.62
2025-01-27,920943,14.91,14.2,15.05,14.2,5126,7609933.55,5.72,-4.38,-0.65,1.24
2025-02-05,920943,14.41,14.55,14.75,14.1,6933,10181496.36,4.58,2.46,0.35,1.68
2025-02-06,920943,14.74,15.2,15.23,14.51,10917,16615828.38,4.95,4.47,0.65,2.65
2025-02-07,920943,15.01,15.71,16.29,15.01,20668,33133230.19,8.42,3.36,0.51,5.02
2025-02-10,920943,15.94,16.13,16.24,15.56,13469,21747091.6,4.33,2.67,0.42,3.27
2025-02-11,920943,16.1,16.57,16.77,16.04,25508,42649936.57,4.53,2.73,0.44,6.19
2025-02-12,920943,16.74,16.7,16.74,16.33,16279,27300284.37,2.47,0.78,0.13,3.95
2025-02-13,920943,16.95,16.32,16.95,16.26,12732,21433888.3,4.13,-2.28,-0.38,3.09
2025-02-14,920943,16.5,16.09,16.5,15.75,8958,14670922.39,4.6,-1.41,-0.23,2.17
2025-02-17,920943,16.22,16.45,16.5,15.85,10784,17776958.51,4.04,2.24,0.36,2.62
2025-02-18,920943,16.74,15.96,16.74,15.46,13493,22274283.93,7.78,-2.98,-0.49,3.27
2025-02-19,920943,15.92,16.2,16.33,15.61,13810,22590650.06,4.51,1.5,0.24,3.35
2025-02-20,920943,16.2,17.3,17.3,16.04,32376,54923232.5,7.78,6.79,1.1,7.86
2025-02-21,920943,17.33,16.98,17.35,16.68,23645,40838634.25,3.87,-1.85,-0.32,5.74
2025-02-24,920943,17.39,18.36,19.43,17.05,54094,100270218.59,14.02,8.13,1.38,13.13
2025-02-25,920943,18.08,18.4,18.54,17.65,28164,51551881.65,4.85,0.22,0.04,6.84
2025-02-26,920943,19.15,18.03,19.19,17.8,27457,50841785.39,7.55,-2.01,-0.37,6.66
2025-02-27,920943,17.9,17.85,18.28,17.4,19888,36023498.99,4.88,-1.0,-0.18,4.83
2025-02-28,920943,17.77,17.4,18.23,17.4,19112,34587024.15,4.65,-2.52,-0.45,4.64
2025-03-03,920943,17.72,18.17,18.28,17.14,29999,54216271.93,6.55,4.43,0.77,7.28
2025-03-04,920943,18.85,19.85,20.65,18.35,57180,112648556.61,12.66,9.25,1.68,13.88
2025-03-05,920943,18.76,21.64,22.37,18.76,67356,140639480.77,18.19,9.02,1.79,16.35
2025-03-06,920943,21.03,20.32,21.15,19.87,48956,101248665.94,5.91,-6.1,-1.32,11.88
2025-03-07,920943,20.02,20.64,21.62,19.87,44063,92703132.7,8.61,1.57,0.32,10.69
2025-03-10,920943,21.07,20.29,21.07,20.06,30548,63455118.14,4.89,-1.7,-0.35,7.41
2025-03-11,920943,19.9,22.85,25.75,19.78,87434,205897368.38,29.42,12.62,2.56,21.22
2025-03-12,920943,22.25,23.75,24.71,22.25,87285,207532679.92,10.77,3.94,0.9,21.18
2025-03-13,920943,23.25,22.93,23.65,21.95,57609,131661332.77,7.16,-3.45,-0.82,13.98
2025-03-14,920943,22.7,23.2,23.24,21.75,58128,131600256.96,6.5,1.18,0.27,14.11
2025-03-17,920943,22.76,24.48,24.75,22.76,60357,145998629.35,8.58,5.52,1.28,14.65
2025-03-18,920943,24.65,24.07,24.73,23.37,48183,116699559.58,5.56,-1.67,-0.41,11.69
2025-03-19,920943,24.15,21.25,24.23,20.96,50780,114198160.42,13.59,-11.72,-2.82,12.32
2025-03-20,920943,21.23,20.82,22.15,20.66,34152,73472699.47,7.01,-2.02,-0.43,8.29
2025-03-21,920943,20.5,21.43,22.71,20.34,49699,108922630.59,11.38,2.93,0.61,12.06
2025-03-24,920943,22.23,20.91,22.24,19.25,43404,90023121.69,13.95,-2.43,-0.52,10.53
2025-03-25,920943,20.51,22.06,22.75,20.41,49680,110181355.42,11.19,5.5,1.15,12.06
2025-03-26,920943,21.65,21.45,22.05,20.96,29299,63945363.58,4.94,-2.77,-0.61,7.11
2025-03-27,920943,21.38,20.43,21.4,20.35,28195,58853169.56,4.9,-4.76,-1.02,6.84
2025-03-28,920943,20.25,19.05,20.55,19.05,22816,45284538.24,7.34,-6.75,-1.38,5.54
2025-03-31,920943,18.75,18.25,18.9,17.81,18917,34870421.19,5.72,-4.2,-0.8,4.59
2025-04-01,920943,18.16,18.53,18.87,18.16,15808,29721104.41,3.89,1.53,0.28,3.84
2025-04-02,920943,18.51,18.34,18.74,18.16,12333,23030452.84,3.13,-1.03,-0.19,2.99
2025-04-03,920943,18.33,18.33,18.59,17.97,12569,23272034.03,3.38,-0.05,-0.01,3.05
2025-04-07,920943,16.45,14.0,17.15,13.5,27029,42203530.3,19.91,-23.62,-4.33,6.56
2025-04-08,920943,14.37,14.7,14.93,14.17,18860,27853294.82,5.43,5.0,0.7,4.58
2025-04-09,920943,14.2,16.97,17.0,14.2,33258,53772893.8,19.05,15.44,2.27,8.07
2025-04-10,920943,16.75,17.83,18.1,16.72,34908,62598732.93,8.13,5.07,0.86,8.47
2025-04-11,920943,17.35,17.7,18.45,17.35,26504,48122616.1,6.17,-0.73,-0.13,6.43
2025-04-14,920943,17.82,18.45,19.06,17.82,26902,50213009.55,7.01,4.24,0.75,6.53
2025-04-15,920943,18.52,18.58,19.08,17.97,21659,40710006.72,6.02,0.7,0.13,5.26
2025-04-16,920943,19.35,18.63,20.38,18.25,40825,79753687.19,11.46,0.27,0.05,9.91
2025-04-17,920943,18.11,19.46,20.18,17.48,40182,77613962.15,14.49,4.46,0.83,9.75
2025-04-18,920943,19.72,20.75,21.25,19.27,57935,118195729.54,10.17,6.63,1.29,14.06
2025-04-21,920943,21.15,21.3,22.51,20.5,53690,116142754.8,9.69,2.65,0.55,13.03
2025-04-22,920943,20.89,22.1,23.65,20.81,69927,156481778.45,13.33,3.76,0.8,16.97
2025-04-23,920943,21.87,21.4,22.65,21.12,52935,115975514.65,6.92,-3.17,-0.7,12.85
2025-04-24,920943,21.08,21.02,21.71,20.45,40735,87374520.21,5.89,-1.78,-0.38,9.89
2025-04-25,920943,20.78,20.49,21.51,20.45,26253,55476324.67,5.04,-2.52,-0.53,6.37
2025-04-28,920943,20.15,19.52,20.6,19.46,20732,41651565.5,5.56,-4.73,-0.97,5.03
2025-04-29,920943,19.88,20.19,20.7,19.85,25257,51860545.99,4.35,3.43,0.67,6.13
2025-04-30,920943,20.15,21.03,21.13,20.15,22135,46575353.53,4.85,4.16,0.84,5.37
2025-05-06,920943,21.05,22.05,22.05,20.87,31837,69109612.3,5.61,4.85,1.02,7.73
2025-05-07,920943,22.4,22.65,25.1,21.92,78621,184633461.49,14.42,2.72,0.6,19.08
2025-05-08,920943,22.22,24.05,24.72,22.03,84314,199882302.63,11.88,6.18,1.4,20.46
2025-05-09,920943,23.65,22.86,24.68,22.8,63616,150351514.47,7.82,-4.95,-1.19,15.44
2025-05-12,920943,22.28,26.95,28.74,22.11,98590,246642504.17,29.0,17.89,4.09,23.93
2025-05-13,920943,26.83,25.54,27.35,24.65,73427,190379437.08,10.02,-5.23,-1.41,17.82
2025-05-14,920943,25.08,24.55,25.63,23.95,55506,137349310.6,6.58,-3.88,-0.99,13.47
2025-05-15,920943,24.08,24.09,24.7,23.68,34288,83577524.08,4.15,-1.87,-0.46,8.32
2025-05-16,920943,24.11,23.57,24.7,23.49,42272,102536717.84,5.02,-2.16,-0.52,10.26
2025-05-19,920943,23.42,23.6,23.89,22.95,29382,69795674.53,3.99,0.13,0.03,7.13
2025-05-20,920943,23.77,23.97,24.0,23.32,40564,97047319.77,2.88,1.57,0.37,9.85
2025-05-21,920943,24.23,23.33,24.49,23.3,34308,82464970.0,4.96,-2.67,-0.64,8.33
2025-05-22,920943,23.3,22.11,23.81,21.97,30962,71645128.11,7.89,-5.23,-1.22,7.51
2025-05-23,920943,21.96,21.88,22.69,21.83,20724,46536583.34,3.89,-1.04,-0.23,5.03
2025-05-26,920943,22.06,23.17,23.25,21.84,25555,58462507.45,6.44,5.9,1.29,6.2
2025-05-27,920943,23.45,23.76,24.0,22.95,46955,112327367.17,4.53,2.55,0.59,11.4
2025-05-28,920943,23.67,23.66,24.24,23.32,34357,82646065.88,3.87,-0.42,-0.1,8.34
2025-05-29,920943,23.64,25.78,25.81,23.51,81863,208314034.76,9.72,8.96,2.12,19.87
2025-05-30,920943,25.21,25.05,27.61,24.86,83013,219335189.68,10.67,-2.83,-0.73,20.15
2025-06-03,920943,26.07,27.11,29.75,25.76,113017,313029484.62,15.93,8.22,2.06,27.43
2025-06-04,920943,26.5,25.53,28.29,24.75,99019,256902314.44,13.06,-5.83,-1.58,24.03
2025-06-05,920943,24.85,25.1,25.78,24.5,56919,142736458.72,5.01,-1.68,-0.43,13.81
2025-06-06,920943,26.0,24.94,26.99,24.89,68623,177250269.21,8.37,-0.64,-0.16,16.66
2025-06-09,920943,24.55,24.87,25.28,24.52,51542,127750292.77,3.05,-0.28,-0.07,12.51
2025-06-10,920943,24.7,24.28,25.1,23.91,45111,110042367.46,4.78,-2.37,-0.59,10.95
2025-06-11,920943,24.03,24.28,24.44,23.81,26805,64997650.01,2.59,0.0,0.0,6.51
2025-06-12,920943,24.45,24.12,24.52,23.91,22394,54124630.28,2.51,-0.66,-0.16,5.44
2025-06-13,920943,24.41,25.42,25.92,24.38,80130,201648652.7,6.38,5.39,1.3,19.45
2025-06-16,920943,24.82,26.42,27.23,24.82,77605,202750556.79,9.48,3.93,1.0,18.84
2025-06-17,920943,25.62,26.19,26.33,25.2,48946,125555890.83,4.28,-0.87,-0.23,11.88
2025-06-18,920943,26.19,25.66,26.99,25.57,46448,121215767.85,5.42,-2.02,-0.53,11.27
2025-06-19,920943,25.18,23.42,25.4,23.33,48993,118451721.21,8.07,-8.73,-2.24,11.89
2025-06-20,920943,23.36,22.58,23.49,22.5,23515,53807226.22,4.23,-3.59,-0.84,5.71
2025-06-23,920943,22.96,23.05,23.29,22.58,18329,42014740.33,3.14,2.08,0.47,4.45
2025-06-24,920943,22.81,23.91,24.14,22.81,27767,65409289.5,5.77,3.73,0.86,6.74
2025-06-25,920943,23.91,24.76,25.11,23.75,36481,89603516.85,5.69,3.55,0.85,8.85
2025-06-26,920943,24.76,31.93,32.18,24.76,189701,570418866.57,29.97,28.96,7.17,46.04
2025-06-27,920943,28.54,27.2,29.38,27.14,153215,430354753.83,7.02,-14.81,-4.73,37.19
2025-06-30,920943,26.62,27.32,28.0,26.35,84498,231139465.83,6.07,0.44,0.12,20.51
2025-07-01,920943,27.91,27.0,27.91,26.71,56880,154490880.83,4.39,-1.17,-0.32,10.98
2025-07-02,920943,27.56,27.05,27.87,26.8,51733,141829868.74,3.96,0.19,0.05,9.99
2025-07-03,920943,27.11,26.97,27.5,26.32,43020,115400168.64,4.36,-0.3,-0.08,8.3
2025-07-04,920943,26.93,26.03,26.97,26.0,35691,94206152.84,3.6,-3.49,-0.94,6.89
2025-07-07,920943,26.1,26.22,26.3,25.86,17746,46260552.97,1.69,0.73,0.19,3.43
2025-07-08,920943,26.28,26.56,26.78,26.11,24011,63609061.03,2.56,1.3,0.34,4.63
2025-07-09,920943,26.64,25.9,26.84,25.85,28833,75954164.66,3.73,-2.48,-0.66,5.57
2025-07-10,920943,25.57,25.91,25.91,25.3,20316,51846697.49,2.36,0.04,0.01,3.92
2025-07-11,920943,25.91,26.48,26.54,25.71,24441,63955386.47,3.2,2.2,0.57,4.72
2025-07-14,920943,26.4,27.3,27.36,26.39,34275,92326080.13,3.66,3.1,0.82,6.62
2025-07-15,920943,27.2,26.6,27.37,26.19,25851,68655550.88,4.32,-2.56,-0.7,4.99
2025-07-16,920943,26.58,26.31,26.89,26.23,17972,47659524.86,2.48,-1.09,-0.29,3.47
2025-07-17,920943,26.4,27.06,27.2,26.2,31464,84220647.97,3.8,2.85,0.75,6.07
2025-07-18,920943,26.93,27.36,27.58,26.74,36544,99409793.16,3.1,1.11,0.3,7.05
2025-07-21,920943,27.75,29.16,29.86,27.5,72485,209377020.06,8.63,6.58,1.8,13.99
2025-07-22,920943,28.99,30.2,32.09,28.61,90583,276330400.82,11.93,3.57,1.04,17.48
2025-07-23,920943,29.24,27.6,29.9,27.6,66188,189583782.1,7.62,-8.61,-2.6,12.78
2025-07-24,920943,27.2,28.03,29.35,27.2,46189,131141105.69,7.79,1.56,0.43,8.92
2025-07-25,920943,27.97,28.41,28.9,27.75,30569,86782976.58,4.1,1.36,0.38,5.9
2025-07-28,920943,28.48,27.87,28.51,27.4,31847,88667170.52,3.91,-1.9,-0.54,6.15
2025-07-29,920943,27.7,28.34,28.5,27.31,29243,81405307.55,4.27,1.69,0.47,5.64
2025-07-30,920943,28.3,27.73,28.96,27.53,26930,76132860.67,5.05,-2.15,-0.61,5.2
2025-07-31,920943,27.61,27.13,27.88,27.07,25649,70410449.43,2.92,-2.16,-0.6,4.95
2025-08-01,920943,27.03,26.54,27.38,26.31,21739,58197871.97,3.94,-2.17,-0.59,4.2
2025-08-04,920943,26.52,28.35,28.45,26.33,40616,112199995.74,7.99,6.82,1.81,7.84
2025-08-05,920943,28.36,27.88,28.53,27.53,27999,78091612.6,3.53,-1.66,-0.47,5.4
2025-08-06,920943,27.82,28.21,28.67,27.75,28605,80918669.76,3.3,1.18,0.33,5.52
2025-08-07,920943,28.12,27.77,28.4,27.66,19847,55431698.72,2.62,-1.56,-0.44,3.83
2025-08-08,920943,27.71,28.76,29.3,27.7,46178,132854091.37,5.76,3.56,0.99,8.91
2025-08-11,920943,28.15,29.3,29.65,28.15,44673,130006023.81,5.22,1.88,0.54,8.62
2025-08-12,920943,29.08,28.31,29.3,28.12,32506,92492358.16,4.03,-3.38,-0.99,6.27
2025-08-13,920943,28.36,28.32,28.57,27.95,22393,63237328.24,2.19,0.04,0.01,4.32
2025-08-14,920943,28.32,27.03,28.32,26.88,30707,84126318.55,5.08,-4.56,-1.29,5.93
2025-08-15,920943,27.0,28.19,28.5,27.0,26751,74689447.86,5.55,4.29,1.16,5.16
2025-08-18,920943,28.5,29.36,29.8,28.04,41857,121434411.09,6.24,4.15,1.17,8.08
2025-08-19,920943,29.47,29.08,30.47,28.89,42335,126459142.95,5.38,-0.95,-0.28,8.17
2025-08-20,920943,29.39,32.54,32.61,29.08,82072,253913969.0,12.14,11.9,3.46,15.84
2025-08-21,920943,30.8,30.02,31.13,29.41,67350,203341726.3,5.29,-7.74,-2.52,13.0
2025-08-22,920943,29.98,29.19,29.98,29.0,38280,111811579.88,3.26,-2.76,-0.83,7.39
2025-08-25,920943,29.12,29.75,29.88,28.8,36135,105741273.71,3.7,1.92,0.56,6.97
2025-08-26,920943,29.47,28.97,29.83,28.9,24584,71703795.82,3.13,-2.62,-0.78,4.75
2025-08-27,920943,28.9,28.28,29.17,28.28,23791,68291131.03,3.07,-2.38,-0.69,4.59
2025-08-28,920943,28.37,29.3,29.35,27.55,33638,95929187.48,6.36,3.61,1.02,6.49
2025-08-29,920943,29.39,28.97,29.58,28.85,20569,59950091.71,2.49,-1.13,-0.33,3.97
2025-09-01,920943,28.98,28.79,29.16,28.22,17684,50608239.53,3.24,-0.62,-0.18,3.41
2025-09-02,920943,28.8,29.35,29.39,28.01,27822,80309619.49,4.79,1.95,0.56,5.37
2025-09-03,920943,29.41,28.18,29.49,28.16,20633,58855064.9,4.53,-3.99,-1.17,3.98
2025-09-04,920943,28.0,28.08,28.79,27.66,18656,52671503.82,4.01,-0.35,-0.1,3.6
2025-09-05,920943,28.3,29.08,29.24,28.19,26048,75256878.27,3.74,3.56,1.0,5.03
2025-09-08,920943,29.23,29.81,30.18,29.09,33677,99669186.09,3.75,2.51,0.73,6.5
2025-09-09,920943,29.77,28.45,29.77,28.28,24980,71648451.96,5.0,-4.56,-1.36,4.82
2025-09-10,920943,28.5,28.2,28.75,28.0,14146,39948794.13,2.64,-0.88,-0.25,2.73
2025-09-11,920943,28.3,28.58,28.65,28.17,14192,40397293.32,1.7,1.35,0.38,2.74
2025-09-12,920943,28.62,27.71,28.63,27.6,23368,65310511.72,3.6,-3.04,-0.87,4.51
2025-09-15,920943,27.8,26.83,27.81,26.78,18257,49709724.85,3.72,-3.18,-0.88,3.52
2025-09-16,920943,26.85,27.0,27.1,26.13,18969,50410030.03,3.62,0.63,0.17,3.66
2025-09-17,920943,26.81,27.07,27.5,26.79,13154,35628548.37,2.63,0.26,0.07,2.54
2025-09-18,920943,27.01,26.67,27.53,26.39,19282,52212578.68,4.21,-1.48,-0.4,3.72
2025-09-19,920943,26.63,26.3,27.06,26.28,12901,34280854.88,2.92,-1.39,-0.37,2.49
2025-09-22,920943,26.3,25.58,26.35,25.34,17348,44665459.16,3.84,-2.74,-0.72,3.35
2025-09-23,920943,25.65,24.7,25.7,24.05,21334,52451999.23,6.45,-3.44,-0.88,4.12
2025-09-24,920943,24.63,24.8,25.05,24.46,11114,27444517.06,2.39,0.4,0.1,2.15
2025-09-25,920943,24.85,24.23,24.94,24.09,11643,28481480.74,3.43,-2.3,-0.57,2.25
2025-09-26,920943,24.52,24.37,25.1,23.71,17248,42320479.65,5.74,0.58,0.14,3.33
2025-09-29,920943,24.36,23.78,24.41,23.64,14010,33502660.66,3.16,-2.42,-0.59,2.7
2025-09-30,920943,23.89,23.71,24.1,23.53,9311,22199055.09,2.4,-0.29,-0.07,1.8
2025-10-09,920943,23.89,24.39,24.77,23.18,18534,44322179.77,6.71,2.87,0.68,3.58
2025-10-10,920943,24.23,24.18,24.79,24.18,10417,25455599.2,2.5,-0.86,-0.21,2.01
2025-10-13,920943,23.09,23.95,24.22,23.05,9637,22819039.74,4.84,-0.95,-0.23,1.86
2025-10-14,920943,23.93,24.38,24.92,23.93,13753,33740243.01,4.13,1.8,0.43,2.65
2025-10-15,920943,24.34,24.82,24.87,23.9,14382,35116144.19,3.98,1.8,0.44,2.78
2025-10-16,920943,24.92,24.24,25.19,24.23,10066,24809846.83,3.87,-2.34,-0.58,1.94
2025-10-17,920943,24.24,23.23,24.3,23.22,8084,19144385.48,4.46,-4.17,-1.01,1.56
2025-10-20,920943,23.41,23.65,23.8,23.18,7128,16755902.55,2.67,1.81,0.42,1.38
2025-10-21,920943,23.79,24.9,24.9,23.51,16493,40374759.39,5.88,5.29,1.25,3.18
2025-10-22,920943,24.9,26.06,26.85,24.54,33519,87266864.41,9.28,4.66,1.16,6.47
2025-10-23,920943,25.8,24.92,25.8,24.57,18918,47029015.76,4.72,-4.37,-1.14,3.65
2025-10-24,920943,25.63,25.43,26.2,25.1,18636,47705169.63,4.41,2.05,0.51,3.6
2025-10-27,920943,25.34,25.22,25.67,24.85,13991,35148611.7,3.22,-0.83,-0.21,2.7
2025-10-28,920943,25.21,25.16,25.45,24.97,9107,22939167.65,1.9,-0.24,-0.06,1.76
2025-10-29,920943,24.82,26.01,26.08,24.01,30011,74709701.49,8.23,3.38,0.85,5.79
